Date,Close
2021-10-01,1000.0
2021-10-04,1012.33
2021-10-05,1005.27
2021-10-06,1000.5
2021-10-07,1012.08
2021-10-08,1040.69
2021-10-11,1054.07
2021-10-12,1051.92
2021-10-13,1086.35
2021-10-14,1090.38
2021-10-18,1077.07
2021-10-19,1050.55
2021-10-20,1027.55
2021-10-21,1012.75
2021-10-22,975.69
2021-10-25,929.07
2021-10-26,945.01
2021-10-27,949.29
2021-10-28,923.14
2021-10-29,918.32
2021-11-01,927.26
2021-11-02,925.41
2021-11-03,918.94
2021-11-04,933.33
2021-11-08,931.87
2021-11-09,937.66
2021-11-10,941.61
2021-11-11,932.81
2021-11-12,949.59
2021-11-15,944.85
2021-11-16,955.25
2021-11-17,952.46
2021-11-18,939.14
2021-11-22,908.22
2021-11-23,908.83
2021-11-24,909.14
2021-11-25,912.44
2021-11-26,892.92
2021-11-29,878.28
2021-11-30,874.54
2021-12-01,888.44
2021-12-02,894.65
2021-12-03,894.71
2021-12-06,872.39
2021-12-07,887.98
2021-12-08,904.99
2021-12-09,917.47
2021-12-10,916.04
2021-12-13,916.84
2021-12-14,915.38
2021-12-15,915.84
2021-12-16,910.15
2021-12-17,890.05
2021-12-20,855.03
2021-12-21,860.77
2021-12-22,871.84
2021-12-23,874.4
2021-12-24,868.29
2021-12-27,871.02
2021-12-28,879.46
2021-12-29,876.49
2021-12-30,875.77
2021-12-31,889.45
2022-01-03,896.25
2022-01-04,897.89
2022-01-05,896.02
2022-01-06,893.27
2022-01-07,897.37
2022-01-10,899.26
2022-01-11,900.32
2022-01-12,912.0
2022-01-13,912.8
2022-01-14,926.22
2022-01-17,929.22
2022-01-18,906.69
2022-01-19,891.39
2022-01-20,908.41
2022-01-21,888.61
2022-01-24,833.23
2022-01-25,820.2
2022-01-27,795.6
2022-01-28,800.77
2022-01-31,823.24
2022-02-01,830.49
2022-02-02,849.48
2022-02-03,837.98
2022-02-04,828.92
2022-02-07,818.87
2022-02-08,815.3
2022-02-09,824.18
2022-02-10,824.99
2022-02-11,803.08
2022-02-14,780.04
2022-02-15,799.2
2022-02-16,800.41
2022-02-17,789.97
2022-02-18,778.84
2022-02-21,763.39
2022-02-22,751.81
2022-02-23,761.25
2022-02-24,726.64
2022-02-25,757.38
2022-02-28,759.62
2022-03-02,757.74
2022-03-03,747.5
2022-03-04,729.72
2022-03-07,704.99
2022-03-08,715.28
2022-03-09,735.92
2022-03-10,745.15
2022-03-11,744.64
2022-03-14,733.27
2022-03-15,732.34
2022-03-16,746.6
2022-03-17,780.47
2022-03-21,785.87
2022-03-22,790.75
2022-03-23,786.25
2022-03-24,778.36
2022-03-25,771.12
2022-03-28,756.74
2022-03-29,757.26
2022-03-30,763.9
2022-03-31,749.91
2022-04-01,770.29
2022-04-04,800.89
2022-04-05,816.41
2022-04-06,816.57
2022-04-07,809.84
2022-04-08,819.57
2022-04-11,832.16
2022-04-12,818.06
2022-04-13,822.34
2022-04-18,811.57
2022-04-19,806.15
2022-04-20,800.21
2022-04-21,811.56
2022-04-22,809.29
2022-04-25,780.25
2022-04-26,787.61
2022-04-27,771.21
2022-04-28,779.33
2022-04-29,775.51
2022-05-02,760.64
2022-05-04,726.79
2022-05-05,709.39
2022-05-06,682.79
2022-05-09,661.43
2022-05-10,639.64
2022-05-11,632.22
2022-05-12,612.44
2022-05-13,633.67
2022-05-16,652.18
2022-05-17,670.19
2022-05-18,671.09
2022-05-19,643.44
2022-05-20,662.65
2022-05-23,665.2
2022-05-24,671.41
2022-05-25,643.55
2022-05-26,645.35
2022-05-27,659.99
2022-05-30,686.28
2022-05-31,708.84
2022-06-01,704.58
2022-06-02,695.23
2022-06-03,690.48
2022-06-06,676.61
2022-06-07,660.13
2022-06-08,666.24
2022-06-09,674.37
2022-06-10,666.03
2022-06-13,648.64
2022-06-14,653.08
2022-06-15,656.05
2022-06-16,640.7
2022-06-17,637.92
2022-06-20,625.58
2022-06-21,640.67
2022-06-22,633.99
2022-06-23,645.83
2022-06-24,661.81
2022-06-27,665.87
2022-06-28,653.54
2022-06-29,641.02
2022-06-30,629.61
2022-07-01,630.52
2022-07-04,632.02
2022-07-05,631.98
2022-07-06,635.02
2022-07-07,644.98
2022-07-08,643.95
2022-07-11,644.84
2022-07-12,644.69
2022-07-13,648.86
2022-07-14,640.4
2022-07-15,632.51
2022-07-18,644.92
2022-07-19,651.63
2022-07-20,655.43
2022-07-21,661.33
2022-07-22,662.15
2022-07-25,645.58
2022-07-26,621.72
2022-07-27,626.12
2022-07-28,634.78
2022-07-29,647.2
2022-08-01,658.84
2022-08-02,682.88
2022-08-03,678.12
2022-08-04,682.65
2022-08-05,680.05
2022-08-08,681.09
2022-08-10,675.33
2022-08-11,687.66
2022-08-12,686.62
2022-08-16,693.27
2022-08-17,700.88
2022-08-18,702.75
2022-08-19,688.55
2022-08-22,672.41
2022-08-23,674.45
2022-08-24,674.72
2022-08-25,681.84
2022-08-26,682.2
2022-08-29,661.78
2022-08-30,672.63
2022-09-01,676.18
2022-09-02,674.72
2022-09-05,674.29
2022-09-06,673.98
2022-09-07,679.44
2022-09-08,688.38
2022-09-09,697.7
2022-09-12,700.13
2022-09-13,713.96
2022-09-14,701.03
2022-09-15,699.64
2022-09-16,688.96
2022-09-19,684.28
2022-09-20,683.34
2022-09-21,679.19
2022-09-22,676.44
2022-09-23,663.91
2022-09-26,637.56
2022-09-27,644.8
2022-09-28,636.86
2022-09-29,642.41
2022-09-30,646.24
2022-10-03,645.94
2022-10-04,665.67
2022-10-06,673.85
2022-10-07,678.13
2022-10-10,674.0
2022-10-11,659.45
2022-10-12,655.47
2022-10-13,647.12
2022-10-14,648.05
2022-10-17,648.38
2022-10-18,652.79
2022-10-19,651.84
2022-10-20,650.97
2022-10-21,642.49
2022-10-24,648.3
2022-10-25,647.8
2022-10-27,652.19
2022-10-28,643.93
2022-10-31,654.26
2022-11-01,660.49
2022-11-02,658.85
2022-11-03,653.29
2022-11-04,654.5
2022-11-07,663.59
2022-11-09,657.69
2022-11-10,648.24
2022-11-11,681.03
2022-11-14,686.68
2022-11-15,673.04
2022-11-16,663.55
2022-11-17,647.07
2022-11-18,647.42
2022-11-21,639.5
2022-11-22,633.93
2022-11-23,627.42
2022-11-24,634.28
2022-11-25,643.43
2022-11-28,646.8
2022-11-29,645.99
2022-11-30,650.17
2022-12-01,657.67
2022-12-02,667.3
2022-12-05,658.15
2022-12-06,651.12
2022-12-07,645.24
2022-12-08,647.09
2022-12-09,647.67
2022-12-12,647.62
2022-12-13,653.72
2022-12-14,659.13
2022-12-15,646.25
2022-12-16,638.98
2022-12-19,642.52
2022-12-20,641.29
2022-12-21,622.88
2022-12-22,611.6
2022-12-23,574.91
2022-12-26,598.94
2022-12-27,605.77
2022-12-28,609.24
2022-12-29,610.28
2022-12-30,607.14
2023-01-02,610.13
2023-01-03,608.31
2023-01-04,599.03
2023-01-05,596.4
2023-01-06,591.98
2023-01-09,594.58
2023-01-10,591.71
2023-01-11,594.77
2023-01-12,590.56
