Date,Close
2016-07-08,217.32
2016-07-11,221.53
2016-07-12,224.56
2016-07-13,220.87
2016-07-14,220.16
2016-07-15,218.95
2016-07-18,216.32
2016-07-19,215.24
2016-07-20,221.01
2016-07-21,218.66
2016-07-22,220.32
2016-07-25,223.57
2016-07-26,220.68
2016-07-27,220.13
2016-07-28,222.28
2016-07-29,221.91
2016-08-01,222.03
2016-08-02,219.34
2016-08-03,216.23
2016-08-04,221.37
2016-08-05,226.66
2016-08-08,228.57
2016-08-09,229.42
2016-08-10,226.05
2016-08-11,224.81
2016-08-12,223.68
2016-08-16,222.19
2016-08-17,223.35
2016-08-18,226.15
2016-08-19,224.89
2016-08-22,224.96
2016-08-23,224.24
2016-08-24,224.81
2016-08-25,223.24
2016-08-26,220.61
2016-08-29,220.68
2016-08-30,222.59
2016-08-31,220.0
2016-09-01,215.36
2016-09-02,217.01
2016-09-06,220.5
2016-09-07,221.98
2016-09-08,228.33
2016-09-09,229.72
2016-09-12,218.33
2016-09-14,218.42
2016-09-15,217.9
2016-09-16,220.0
2016-09-19,223.24
2016-09-20,219.97
2016-09-21,220.58
2016-09-22,223.61
2016-09-23,225.36
2016-09-26,220.0
2016-09-27,220.61
2016-09-28,224.54
2016-09-29,208.89
2016-09-30,216.95
2016-10-03,223.68
2016-10-04,224.56
2016-10-05,228.66
2016-10-06,225.26
2016-10-07,226.08
2016-10-10,223.16
2016-10-13,218.01
2016-10-14,219.84
2016-10-17,217.58
2016-10-18,220.24
2016-10-19,218.96
2016-10-20,222.58
2016-10-21,224.37
2016-10-24,225.64
2016-10-25,224.25
2016-10-26,223.65
2016-10-27,222.2
2016-10-28,225.22
2016-10-30,225.93
2016-11-01,223.73
2016-11-02,217.68
2016-11-03,215.19
2016-11-04,209.16
2016-11-07,212.56
2016-11-08,212.13
2016-11-09,187.52
2016-11-10,189.84
2016-11-11,180.18
2016-11-15,170.91
2016-11-16,169.22
2016-11-17,171.37
2016-11-18,173.71
2016-11-21,164.69
2016-11-22,169.58
2016-11-23,174.55
2016-11-24,172.26
2016-11-25,174.92
2016-11-28,178.1
2016-11-29,178.93
2016-11-30,179.64
2016-12-01,177.38
2016-12-02,174.13
2016-12-05,175.36
2016-12-06,177.87
2016-12-07,175.73
2016-12-08,178.39
2016-12-09,181.57
2016-12-12,180.61
2016-12-13,178.48
2016-12-14,179.2
2016-12-15,179.64
2016-12-16,179.51
2016-12-19,177.62
2016-12-20,177.54
2016-12-21,179.45
2016-12-22,178.52
2016-12-23,176.2
2016-12-26,169.79
2016-12-27,170.94
2016-12-28,172.81
2016-12-29,174.63
2016-12-30,176.99
2017-01-02,184.75
2017-01-03,185.57
2017-01-04,189.73
2017-01-05,191.83
2017-01-06,190.26
2017-01-09,191.87
2017-01-10,191.34
2017-01-11,192.1
2017-01-12,191.58
2017-01-13,191.39
2017-01-16,193.95
2017-01-17,194.68
2017-01-18,194.77
2017-01-19,194.14
2017-01-20,189.84
2017-01-23,191.16
2017-01-24,191.82
2017-01-25,195.33
2017-01-27,194.17
2017-01-30,193.4
2017-01-31,192.15
2017-02-01,201.7
2017-02-02,202.0
2017-02-03,203.8
2017-02-06,207.76
2017-02-07,206.62
2017-02-08,208.17
2017-02-09,210.17
2017-02-10,209.83
2017-02-13,207.63
2017-02-14,206.12
2017-02-15,198.07
2017-02-16,201.74
2017-02-17,202.58
2017-02-20,205.45
2017-02-21,206.33
2017-02-22,206.56
2017-02-23,208.16
2017-02-27,208.56
2017-02-28,211.05
2017-03-01,219.27
2017-03-02,210.0
2017-03-03,212.11
2017-03-06,214.0
2017-03-07,215.77
2017-03-08,212.76
2017-03-09,212.35
2017-03-10,212.18
2017-03-14,217.69
2017-03-15,218.26
2017-03-16,220.98
2017-03-17,222.65
2017-03-20,221.76
2017-03-21,225.29
2017-03-22,226.69
2017-03-23,227.18
2017-03-24,228.17
2017-03-27,228.05
2017-03-28,227.08
2017-03-29,226.26
2017-03-30,230.46
2017-03-31,230.05
2017-04-03,234.51
2017-04-05,241.76
2017-04-06,243.97
2017-04-07,240.37
2017-04-10,239.05
2017-04-11,241.97
2017-04-12,242.32
2017-04-13,244.05
2017-04-17,263.62
2017-04-18,254.7
2017-04-19,258.43
2017-04-20,263.89
2017-04-21,270.26
2017-04-24,276.75
2017-04-25,280.92
2017-04-26,272.55
2017-04-27,273.62
2017-04-28,268.68
2017-05-02,273.65
2017-05-03,277.84
2017-05-04,275.44
2017-05-05,272.87
2017-05-08,284.35
2017-05-09,285.62
2017-05-10,285.94
2017-05-11,286.66
2017-05-12,288.44
2017-05-15,290.66
2017-05-16,293.38
2017-05-17,292.87
2017-05-18,283.31
2017-05-19,283.07
2017-05-22,278.94
2017-05-23,271.27
2017-05-24,266.99
2017-05-25,272.59
2017-05-26,274.14
2017-05-29,262.33
2017-05-30,265.02
2017-05-31,268.03
2017-06-01,268.35
2017-06-02,271.86
2017-06-05,273.92
2017-06-06,270.2
2017-06-07,270.53
2017-06-08,270.0
2017-06-09,277.89
2017-06-12,277.24
2017-06-13,279.32
2017-06-14,283.09
2017-06-15,289.2
2017-06-16,289.98
2017-06-19,289.1
2017-06-20,289.62
2017-06-21,291.22
2017-06-22,286.63
2017-06-23,281.97
2017-06-27,278.32
2017-06-28,280.53
2017-06-29,283.16
2017-06-30,281.96
2017-07-03,285.89
2017-07-04,284.43
2017-07-05,288.83
2017-07-06,293.93
2017-07-07,299.11
2017-07-10,301.31
2017-07-11,296.67
2017-07-12,297.18
2017-07-13,297.89
2017-07-14,295.75
2017-07-17,300.11
2017-07-18,297.05
2017-07-19,301.09
2017-07-20,301.98
2017-07-21,299.64
2017-07-24,299.77
2017-07-25,300.92
2017-07-26,302.49
2017-07-27,301.78
2017-07-28,301.04
2017-07-31,302.93
2017-08-01,302.91
2017-08-02,302.29
2017-08-03,299.71
2017-08-04,300.4
2017-08-07,305.09
2017-08-08,291.64
2017-08-09,290.19
2017-08-10,275.49
2017-08-11,272.89
2017-08-14,288.69
2017-08-16,291.14
2017-08-17,292.79
2017-08-18,290.44
2017-08-21,287.53
2017-08-22,284.96
2017-08-23,294.76
2017-08-24,292.95
2017-08-28,293.87
2017-08-29,291.28
2017-08-30,296.16
2017-08-31,300.21
2017-09-01,307.94
2017-09-04,302.9
2017-09-05,307.18
2017-09-06,307.38
2017-09-07,309.84
2017-09-08,305.28
2017-09-11,307.32
2017-09-12,313.56
2017-09-13,309.79
2017-09-14,308.23
2017-09-15,307.22
2017-09-18,309.47
2017-09-19,313.13
2017-09-20,311.45
2017-09-21,306.69
2017-09-22,293.36
2017-09-25,284.17
2017-09-26,291.85
2017-09-27,283.3
2017-09-28,286.4
2017-09-29,293.98
2017-10-03,294.77
2017-10-04,296.17
2017-10-05,298.87
2017-10-06,299.32
2017-10-09,306.26
2017-10-10,303.64
2017-10-11,297.8
2017-10-12,302.81
2017-10-13,303.69
2017-10-16,307.11
2017-10-17,309.81
2017-10-18,309.53
2017-10-19,308.74
2017-10-23,311.65
2017-10-24,313.41
2017-10-25,312.13
2017-10-26,313.48
2017-10-27,311.88
2017-10-30,318.12
2017-10-31,327.32
2017-11-01,335.81
2017-11-02,335.91
2017-11-03,338.22
2017-11-06,339.7
2017-11-07,332.07
2017-11-08,329.51
2017-11-09,329.2
2017-11-10,329.24
2017-11-13,324.64
2017-11-14,326.24
2017-11-15,320.35
2017-11-16,324.62
2017-11-17,336.49
2017-11-20,343.64
2017-11-21,339.72
2017-11-22,340.65
2017-11-23,340.84
2017-11-24,341.57
2017-11-27,344.54
2017-11-28,343.04
2017-11-29,346.1
2017-11-30,349.97
2017-12-01,343.03
2017-12-04,341.73
2017-12-05,339.86
2017-12-06,338.74
2017-12-07,345.1
2017-12-08,347.63
2017-12-11,347.04
2017-12-12,341.61
2017-12-13,334.3
