Date,Close
2019-04-01,1000.0
2019-04-02,996.23
2019-04-03,985.3
2019-04-04,980.42
2019-04-05,1000.08
2019-04-08,997.78
2019-04-09,988.18
2019-04-10,991.19
2019-04-11,989.21
2019-04-12,980.21
2019-04-15,975.79
2019-04-16,983.74
2019-04-18,974.96
2019-04-22,951.41
2019-04-23,954.63
2019-04-24,960.45
2019-04-25,965.6
2019-04-26,963.17
2019-04-30,943.97
2019-05-02,940.17
2019-05-03,934.45
2019-05-06,919.18
2019-05-07,907.81
2019-05-08,901.93
2019-05-09,907.44
2019-05-10,916.91
2019-05-13,906.06
2019-05-14,902.24
2019-05-15,897.49
2019-05-16,897.13
2019-05-17,916.71
2019-05-20,972.05
2019-05-21,979.04
2019-05-22,976.76
2019-05-23,974.8
2019-05-24,992.74
2019-05-27,992.06
2019-05-28,1000.23
2019-05-29,992.37
2019-05-30,1007.27
2019-05-31,1012.75
2019-06-03,1024.75
2019-06-04,1020.35
2019-06-06,990.25
2019-06-07,985.25
2019-06-10,978.17
2019-06-11,979.18
2019-06-12,965.22
2019-06-13,982.91
2019-06-14,979.61
2019-06-17,965.5
2019-06-18,943.7
2019-06-19,930.31
2019-06-20,951.27
2019-06-21,959.62
2019-06-24,953.82
2019-06-25,952.63
2019-06-26,964.83
2019-06-27,978.58
2019-06-28,975.79
2019-07-01,973.06
2019-07-02,967.8
2019-07-03,983.15
2019-07-04,997.44
2019-07-05,997.21
2019-07-08,959.47
2019-07-09,954.42
2019-07-10,959.75
2019-07-11,967.34
2019-07-12,971.54
2019-07-15,969.96
2019-07-16,975.08
2019-07-17,967.57
2019-07-18,967.58
2019-07-19,959.5
2019-07-22,933.4
2019-07-23,929.75
2019-07-24,918.92
2019-07-25,920.03
2019-07-26,923.46
2019-07-29,908.97
2019-07-30,890.66
2019-07-31,894.34
2019-08-01,872.95
2019-08-02,852.71
2019-08-05,829.02
2019-08-06,839.63
2019-08-07,838.9
2019-08-08,852.25
2019-08-09,863.12
2019-08-13,855.37
2019-08-14,861.8
2019-08-16,854.91
2019-08-19,859.24
2019-08-20,839.61
2019-08-21,815.38
2019-08-22,795.18
2019-08-23,790.55
2019-08-26,816.51
2019-08-27,846.1
2019-08-28,846.91
2019-08-29,838.83
2019-08-30,847.32
2019-09-03,853.47
2019-09-04,838.6
2019-09-05,839.71
2019-09-06,836.76
2019-09-09,845.26
2019-09-11,841.62
2019-09-12,847.1
2019-09-13,837.57
2019-09-16,840.43
2019-09-17,827.07
2019-09-18,835.55
2019-09-19,824.72
2019-09-20,895.97
2019-09-23,934.63
2019-09-24,920.87
2019-09-25,895.28
2019-09-26,899.3
2019-09-27,874.22
2019-09-30,833.39
2019-10-01,824.11
2019-10-03,816.33
2019-10-04,802.79
2019-10-07,795.1
2019-10-09,792.68
2019-10-10,787.59
2019-10-11,789.84
2019-10-14,792.52
2019-10-15,786.42
2019-10-16,793.17
2019-10-17,810.02
2019-10-18,845.6
2019-10-22,876.54
2019-10-23,895.18
2019-10-24,875.11
2019-10-25,860.19
2019-10-27,881.64
2019-10-29,884.41
2019-10-30,897.41
2019-10-31,905.74
2019-11-01,915.65
2019-11-04,913.45
2019-11-05,910.65
2019-11-06,908.96
2019-11-07,925.11
2019-11-08,934.49
2019-11-11,959.15
2019-11-13,1002.1
2019-11-14,1006.51
2019-11-15,1001.27
2019-11-18,997.3
2019-11-19,1001.46
2019-11-20,1004.05
2019-11-21,1022.94
2019-11-22,1018.34
2019-11-25,1021.52
2019-11-26,1013.54
2019-11-27,1022.57
2019-11-28,1032.22
2019-11-29,1020.53
2019-12-02,995.22
2019-12-03,996.01
2019-12-04,987.1
2019-12-05,980.62
2019-12-06,966.52
2019-12-09,944.76
2019-12-10,933.34
2019-12-11,948.47
2019-12-12,960.5
2019-12-13,971.92
2019-12-16,971.98
2019-12-17,973.01
2019-12-18,969.58
2019-12-19,975.2
2019-12-20,987.85
2019-12-23,985.39
2019-12-24,985.35
2019-12-26,993.05
2019-12-27,1017.9
2019-12-30,1024.01
2019-12-31,1025.1
2020-01-01,1031.27
2020-01-02,1058.16
2020-01-03,1065.61
2020-01-06,1028.72
2020-01-07,1041.48
2020-01-08,1039.44
2020-01-09,1057.45
2020-01-10,1057.99
2020-01-13,1059.0
2020-01-14,1068.25
2020-01-15,1079.62
2020-01-16,1080.18
2020-01-17,1080.79
2020-01-20,1072.0
2020-01-21,1069.36
2020-01-22,1065.17
2020-01-23,1061.81
2020-01-24,1056.41
2020-01-27,1061.43
2020-01-28,1059.69
2020-01-29,1056.38
2020-01-30,1034.39
2020-01-31,1033.75
2020-02-01,994.66
2020-02-03,982.23
2020-02-04,1022.17
2020-02-05,1037.02
2020-02-06,1060.32
2020-02-07,1062.12
2020-02-10,1051.17
2020-02-11,1062.17
2020-02-12,1061.26
2020-02-13,1062.37
2020-02-14,1063.63
2020-02-17,1047.66
2020-02-18,1053.22
2020-02-19,1091.03
2020-02-20,1114.67
2020-02-24,1099.34
2020-02-25,1088.59
2020-02-26,1086.5
2020-02-27,1072.82
2020-02-28,1016.01
2020-03-02,1010.26
2020-03-03,1036.66
2020-03-04,1028.75
2020-03-05,1034.41
2020-03-06,1000.88
2020-03-09,934.27
2020-03-11,935.97
2020-03-12,853.13
2020-03-13,863.57
2020-03-16,824.93
2020-03-17,798.01
2020-03-18,744.44
2020-03-19,717.21
2020-03-20,740.4
2020-03-23,653.14
2020-03-24,633.76
2020-03-25,645.83
2020-03-26,667.99
2020-03-27,676.43
2020-03-30,664.83
2020-03-31,692.95
2020-04-01,690.71
2020-04-03,686.97
2020-04-07,705.56
2020-04-08,709.55
2020-04-09,734.87
2020-04-13,741.54
2020-04-15,742.68
2020-04-16,761.07
2020-04-17,783.91
2020-04-20,800.91
2020-04-21,751.27
2020-04-22,745.19
2020-04-23,757.78
2020-04-24,724.35
2020-04-27,745.68
2020-04-28,742.83
2020-04-29,746.53
2020-04-30,756.2
2020-05-04,748.06
2020-05-05,736.52
2020-05-06,748.08
2020-05-07,757.99
2020-05-08,757.44
2020-05-11,754.27
2020-05-12,751.27
2020-05-13,769.67
2020-05-14,761.5
2020-05-15,772.51
2020-05-18,752.67
2020-05-19,757.71
2020-05-20,762.52
2020-05-21,763.2
2020-05-22,753.3
2020-05-26,760.56
2020-05-27,776.16
2020-05-28,784.18
2020-05-29,793.09
2020-06-01,813.94
2020-06-02,818.22
2020-06-03,819.29
2020-06-04,820.15
2020-06-05,824.53
2020-06-08,829.37
2020-06-09,817.36
2020-06-10,822.21
2020-06-11,814.42
2020-06-12,811.65
2020-06-15,819.66
2020-06-16,816.29
2020-06-17,808.12
2020-06-18,814.07
2020-06-19,832.97
2020-06-22,844.62
2020-06-23,867.45
2020-06-24,860.56
2020-06-25,871.82
2020-06-26,879.55
2020-06-29,882.45
2020-06-30,886.69
2020-07-01,886.72
2020-07-02,896.72
2020-07-03,899.56
2020-07-06,905.58
2020-07-07,919.01
2020-07-08,913.81
2020-07-09,913.61
2020-07-10,908.32
2020-07-13,904.32
2020-07-14,898.48
2020-07-15,899.68
2020-07-16,905.86
2020-07-17,915.64
2020-07-20,923.41
2020-07-21,942.07
2020-07-22,944.46
2020-07-23,947.87
2020-07-24,951.43
2020-07-27,940.14
2020-07-28,958.18
2020-07-29,956.67
2020-07-30,947.89
2020-07-31,950.57
2020-08-03,944.3
2020-08-04,966.6
2020-08-05,967.18
2020-08-06,966.28
2020-08-07,971.56
2020-08-10,989.06
2020-08-11,985.11
2020-08-12,982.57
2020-08-13,982.73
2020-08-14,980.09
2020-08-17,970.31
2020-08-18,979.14
2020-08-19,992.34
2020-08-20,992.45
2020-08-21,1005.28
2020-08-24,1030.1
2020-08-25,1039.46
2020-08-26,1041.79
2020-08-27,1046.9
2020-08-28,1059.2
2020-08-31,1014.71
2020-09-01,1007.3
2020-09-02,1030.89
2020-09-03,1042.51
2020-09-04,1031.0
2020-09-07,1025.72
2020-09-08,1016.59
2020-09-09,1002.86
2020-09-10,1021.03
2020-09-11,1016.52
2020-09-14,1052.36
2020-09-15,1051.04
2020-09-16,1058.04
2020-09-17,1052.94
2020-09-18,1040.27
2020-09-21,995.85
2020-09-22,980.69
2020-09-23,983.81
2020-09-24,974.52
2020-09-25,985.92
2020-09-28,1033.91
2020-09-29,1039.79
2020-09-30,1038.65
2020-10-01,1047.8
2020-10-05,1059.42
2020-10-06,1067.04
2020-10-07,1057.08
2020-10-08,1039.3
2020-10-09,1035.96
2020-10-12,1026.22
2020-10-13,1026.1
2020-10-14,1027.47
2020-10-15,1006.47
2020-10-16,1009.24
2020-10-19,1014.56
2020-10-20,1017.15
2020-10-21,1009.45
2020-10-22,1011.25
2020-10-23,1011.99
2020-10-26,1004.06
2020-10-27,998.28
2020-10-28,990.7
2020-10-29,973.13
2020-10-30,984.29
2020-11-02,965.02
2020-11-03,962.64
2020-11-04,961.53
2020-11-05,985.53
2020-11-06,1009.48
2020-11-09,1019.76
2020-11-10,1009.44
2020-11-11,1008.71
2020-11-12,1012.25
2020-11-13,1021.49
2020-11-14,1034.79
2020-11-17,1042.08
2020-11-18,1042.25
2020-11-19,1027.45
2020-11-20,1029.77
2020-11-23,1037.65
2020-11-24,1051.16
2020-11-25,1055.45
2020-11-26,1063.58
2020-11-27,1097.57
2020-12-01,1103.44
2020-12-02,1109.86
2020-12-03,1120.88
2020-12-04,1131.73
2020-12-07,1147.18
2020-12-08,1150.76
2020-12-09,1164.88
2020-12-10,1167.36
2020-12-11,1156.89
2020-12-14,1162.88
2020-12-15,1158.54
2020-12-16,1174.21
2020-12-17,1172.66
2020-12-18,1167.71
2020-12-21,1121.73
2020-12-22,1139.46
2020-12-23,1162.11
2020-12-24,1176.12
2020-12-28,1190.89
2020-12-29,1192.55
2020-12-30,1193.95
2020-12-31,1187.96
2021-01-01,1192.86
2021-01-04,1208.6
2021-01-05,1205.61
